Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Commemoration,4230965989,"""6917529339227078484""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1305,,Stability,2,Vault,true,false,4,12,,90,64,41,62,0,0,70,450,37,73,41,0,0,0,,Adaptive Frame*,Chambered Compensator*,Fluted Barrel,Extended Mag*,Steady Rounds,Reconstruction*,Moving Target*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Bite of the Fox,3169616514,"""6917529196521689350""",,Legendary,Sniper Rifle,ironbanner,Kinetic,Kinetic,1100,,Stability,1,Vault,true,false,3,11,,78,41,90,91,0,0,29,72,32,3,24,0,0,0,,Aggressive Frame*,Extended Barrel*,Smallbore,Accurized Rounds*,Alloy Magazine,Snapshot Sights*,Opening Shot*,Jacarina*,Icarus Grip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Whispering Slab,211938782,"""6917529194729591122""",,Legendary,Combat Bow,contact,Kinetic,Kinetic,1100,,Stability,5,Vault,true,false,3,11,,55,75,68,0,0,0,76,0,64,0,73,0,612,49,,Lightweight Frame*,Natural String*,Polymer String,Carbon Arrow Shaft*,Natural Fletching,Killing Wind*,Swashbuckler*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Main Ingredient,253196586,"""6917529209047892186""",,Legendary,Fusion Rifle,strikes,Energy,Arc,1237,,Stability,1,Vault,true,false,3,11,,73,59,80,80,0,0,55,0,32,5,44,740,0,0,,Precision Frame*,Cleanshot IS,Hitmark IS,Red Dot Micro*,Liquid Coils,Projection Fuse*,Snapshot Sights*,Quickdraw*,Dreaming Spectrum*,Icarus Grip*,Tier 1 Weapon*,Subatomic Ivory*,Tracker Disabled*,Kill Tracker,Crucible Tracker,
Hung Jury SR4 (Adept),681067419,"""6917529412568324146""",,Legendary,Scout Rifle,nightfall,Kinetic,Kinetic,1320,,"Stability, Range, Handling, Reload Speed, Blast Radius, Velocity, Accuracy",10,Vault,true,false,4,14,,75,67,62,61,0,0,78,180,63,17,62,0,0,0,,Precision Frame*,Corkscrew Rifling*,Extended Barrel,Tactical Mag*,Flared Magwell,Rapid Hit*,Bottomless Grief,Explosive Payload*,Adept Big Ones Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
One Thousand Voices,2069224589,"""6917529111320516185""",,Exotic,Fusion Rifle,lastwish,Power,Solar,1310,,,,Vault,true,false,2,4,,100,100,100,100,0,0,55,0,37,4,10,1000,0,0,,Ahamkara's Eye*,Extended Barrel*,Liquid Coils*,Unforeseen Repercussions*,Fitted Stock*,Scrimshander's Song*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,
Mindbender's Ambition,4117693024,"""6917529131672759688""",,Legendary,Shotgun,nightfall,Energy,Solar,1100,1060,Range,10,Vault,true,false,2,4,,69,39,80,63,0,0,36,55,45,5,24,0,0,0,,Aggressive Frame*,Rifled Barrel*,Smallbore,Corkscrew Rifling,Assault Mag,Accurized Rounds*,Slideshot*,Moving Target*,Calus's Treasured*,Icarus Grip*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,,
Commemoration,4230965989,"""6917529394102334657""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1310,,Handling,1,Vault,true,false,4,12,,80,64,41,71,0,0,60,450,55,68,45,0,0,0,,Adaptive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Appended Mag*,Alloy Magazine,Feeding Frenzy*,Dragonfly*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Seventh Seraph VY-7,766323545,"""6917529200330763557""",,Legendary,Submachine Gun,seasonpass,Energy,Arc,1260,,Range,10,Vault,true,false,3,10,,91,57,25,81,0,0,52,600,27,27,32,0,0,0,,Precision Frame*,Arrowhead Brake,Corkscrew Rifling*,Accurized Rounds*,Drop Mag,Ambitious Assassin*,Feeding Frenzy,Vorpal Weapon*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Code Duello,2496242052,"""6917529296678301109""",,Legendary,Rocket Launcher,battlegrounds,Power,Solar,1266,,Blast Radius,1,Vault,true,false,4,13,,52,62,0,0,100,61,44,15,68,1,72,0,0,0,,High-Impact Frame*,Confined Launch,Hard Launch*,Alloy Casing*,Implosion Rounds,Field Prep*,Lasting Impression*,Major Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Archon's Thunder,1967303408,"""6917529382123703868""",,Legendary,Machine Gun,ironbanner,Power,Solar,1310,,Reload Speed,4,Vault,true,false,4,14,,86,27,70,86,0,0,25,360,43,44,31,0,0,0,,High-Impact Frame*,Extended Barrel*,Fluted Barrel,Accurized Rounds*,Flared Magwell,Rangefinder*,Rampage*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Last Perdition,188882152,"""6917529349002133348""",,Legendary,Pulse Rifle,crucible,Energy,Void,1310,,Stability,2,Vault,true,false,3,11,,63,60,29,54,0,0,69,390,61,38,42,0,0,0,,Adaptive Frame*,SRO-37 Ocular*,SLO-21 Post,Alloy Magazine,Flared Magwell*,Outlaw*,Rampage*,Crucible Legacy*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Hoosegow,3669616453,"""6917529198355637851""",,Legendary,Rocket Launcher,dungeon,Power,Arc,1100,,Velocity,4,Vault,true,false,3,11,,80,63,0,0,75,70,56,20,50,1,58,0,0,0,,Adaptive Frame*,Quick Launch*,Smart Drift Control,High-Velocity Rounds,Impact Casing*,Field Prep*,Demolitionist*,Boss Spec*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Honor's Edge,2857348871,"""6917529196458801432""",,Legendary,Sword,legendaryengram,Power,Arc,1100,,Impact,1,Vault,true,false,3,10,,0,0,60,0,0,0,0,0,0,66,0,0,0,0,,Adaptive Frame*,Hungry Edge*,Enduring Blade,Balanced Guard,Swordmaster's Guard*,Tireless Blade*,Surrounded*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Dead Man's Tale,3654674561,"""6917529402983432629""",,Exotic,Scout Rifle,dungeon,Kinetic,Kinetic,1310,,,,Vault,false,false,4,13,,89,60,67,68,0,0,46,120,64,14,73,0,0,0,,Cranial Spike*,Fluted Barrel*,Light Mag*,Subsistence*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Vouchsafe,3242168339,"""6917529400735512360""",,Legendary,Scout Rifle,dreaming,Energy,Void,1310,,Handling,1,Vault,true,false,4,13,,77,73,60,49,0,0,39,200,60,16,77,0,0,0,,Lightweight Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Accurized Rounds*,Steady Rounds,Outlaw*,Multikill Clip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Royal Chase,2776503072,"""6917529209026257194""",,Legendary,Scout Rifle,seasonpass,Energy,Void,1235,,Range,1,Vault,true,false,4,12,,93,63,62,45,0,0,49,180,60,16,56,0,0,0,,Precision Frame*,Arrowhead Brake*,Flared Magwell*,Auto-Loading Holster*,Dragonfly*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Stars in Shadow,2050789284,"""6917529226879315391""",,Legendary,Pulse Rifle,crucible,Energy,Solar,1250,,Range,2,Vault,true,false,4,12,,94,28,33,68,0,0,53,340,50,31,40,0,0,0,,High-Impact Frame*,Arrowhead Brake*,Chambered Compensator,Tactical Mag*,Flared Magwell,Killing Wind*,Dragonfly*,Minor Spec*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Hezen Vengeance (Timelost),1921159786,"""6917529408825682810""",,Legendary,Rocket Launcher,vog,Power,Solar,1320,,Velocity,10,Vault,true,false,4,14,,80,35,0,0,85,95,54,25,64,1,40,0,0,0,,Aggressive Frame*,Confined Launch,Smart Drift Control*,High-Velocity Rounds,Impact Casing*,Auto-Loading Holster*,Overflow,Lasting Impression*,Cluster Bomb,Adept Big Ones Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Waking Vigil,334171687,"""6917529205580485561""",,Legendary,Hand Cannon,dreaming,Energy,Arc,1100,1060,Range,10,Vault,true,false,2,4,,98,90,84,60,0,0,44,140,60,12,58,0,0,0,,Adaptive Frame*,SteadyHand HCS,Sureshot HCS*,Ricochet Rounds*,Flared Magwell,Opening Shot*,Slideshot*,Jacarina*,Icarus Grip*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,,,
Night Watch,3504336176,"""6917529197266792326""",,Legendary,Scout Rifle,gambitprime,Kinetic,Kinetic,1320,,Reload Speed,10,Vault,true,false,3,11,,67,69,60,52,0,0,46,200,85,16,60,0,0,0,,Lightweight Frame*,Arrowhead Brake,Extended Barrel*,Tactical Mag,Flared Magwell*,Outlaw*,Explosive Payload*,Multikill Clip,Butterbark*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,Insomnia*,
Uzume RR4,2065081837,"""6917529368521247004""",,Legendary,Sniper Rifle,nightfall,Energy,Solar,1319,,Range,2,Vault,true,false,4,14,,100,67,70,66,0,0,58,90,60,4,60,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Polygonal Rifling,Tactical Mag*,Alloy Magazine,Lead from Gold*,Dragonfly*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Seventh Seraph Officer Revolver,3037520408,"""6917529211674639684""",,Legendary,Hand Cannon,rasputin,Kinetic,Kinetic,1250,,Reload Speed,4,Vault,true,false,3,10,,84,68,78,42,0,0,63,180,58,14,37,0,0,0,,Precision Frame*,Polygonal Rifling,Smallbore*,Appended Mag*,Flared Magwell,Fourth Time's the Charm*,Vorpal Weapon*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Transfiguration,3799980700,"""6917529202335039308""",,Legendary,Scout Rifle,lastwish,Kinetic,Kinetic,1100,,Reload Speed,10,Vault,true,false,3,11,,78,29,67,81,0,0,34,150,50,14,50,0,0,0,,High-Impact Frame*,Fluted Barrel*,Light Mag*,Outlaw*,Explosive Payload*,Dreaming Spectrum*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,,,,
Retold Tale,346136302,"""6917529377561228775""",,Legendary,Shotgun,dreaming,Energy,Void,1310,,Handling,10,Vault,true,false,4,13,,64,75,70,78,0,0,50,65,47,6,50,0,0,0,,Precision Frame*,Corkscrew Rifling,Full Choke*,Steady Rounds,Accurized Rounds*,Quickdraw*,Killing Wind*,Gambit Emerald*,Icarus Grip*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,,,
Multimach CCX,3717177717,"""6917529359711113991""",,Legendary,Submachine Gun,ironbanner,Kinetic,Kinetic,1315,,Range,1,Vault,true,false,4,13,,100,55,15,49,0,0,49,900,47,36,73,0,0,0,,Lightweight Frame*,IS 5 Circle,Model 8 Red*,Alloy Magazine,Flared Magwell*,Quickdraw*,Unrelenting*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Outlast,299665907,"""6917529203335636512""",,Legendary,Pulse Rifle,gambitprime,Energy,Solar,1100,1060,Range,2,Vault,true,false,2,6,,60,78,23,52,0,0,52,540,32,32,33,0,0,0,,Rapid-Fire Frame*,Chambered Compensator,Corkscrew Rifling*,Accurized Rounds*,Extended Mag,Outlaw*,Kill Clip*,Butterbark*,Icarus Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
IKELOS_SR_v1.0.2,1253087083,"""6917529203386556553""",,Legendary,Sniper Rifle,contact,Energy,Solar,1310,,Handling,10,Vault,true,false,3,11,,57,73,55,43,0,0,56,140,70,7,79,0,0,0,,Rapid-Fire Frame*,Polygonal Rifling,Smallbore*,Tactical Mag*,Flared Magwell,Triple Tap*,Multikill Clip,High-Impact Reserves*,Jacarina*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
The Supremacy,686951703,"""6917529203014876865""",,Legendary,Sniper Rifle,lastwish,Kinetic,Kinetic,1260,,Range,10,Vault,true,false,3,11,,60,77,55,59,0,0,60,140,66,7,71,0,0,0,,Rapid-Fire Frame*,Chambered Compensator,Fluted Barrel,Smallbore*,Armor-Piercing Rounds,Ricochet Rounds*,Snapshot Sights*,Triple Tap*,Imperial Opulence*,Backup Mag*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,
Jian 7 Rifle,1162247618,"""6917529204960910035""",,Legendary,Pulse Rifle,legendaryengram,Energy,Arc,1100,,Range,1,Vault,true,false,3,10,,80,64,29,59,0,0,50,390,52,33,61,0,0,0,,Adaptive Frame*,SLO-21 Post,SPO-26 Front*,Ricochet Rounds,Light Mag*,Disruption Break*,Rampage*,Bitterpearl*,Rampage Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Accrued Redemption,4095896073,"""6917529117151101904""",,Legendary,Combat Bow,garden,Kinetic,Kinetic,1100,,"Draw Time, Charge Time",4,Vault,true,false,3,11,,77,70,76,0,0,0,58,0,46,0,60,0,634,83,,Precision Frame*,Elastic String,Polymer String*,Carbon Arrow Shaft*,Natural Fletching,Rangefinder*,Rampage*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Tarantula,3335343363,"""6917529352671572076""",,Legendary,Linear Fusion Rifle,legendaryengram,Power,Arc,1307,,Range,1,Vault,true,false,4,13,,65,58,38,74,0,0,34,0,31,6,28,500,0,0,,Precision Frame*,Arrowhead Brake,Full Bore*,Accelerated Coils*,Projection Fuse,Feeding Frenzy*,Kill Clip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Techeun Force,4094657108,"""6917529204287897036""",,Legendary,Fusion Rifle,lastwish,Energy,Arc,1100,,Range,3,Vault,true,false,3,11,,60,44,70,70,0,0,36,0,41,6,30,660,0,0,,Adaptive Frame*,Extended Barrel,Full Bore*,Polygonal Rifling,Liquid Coils,Projection Fuse*,Threat Detector*,Backup Plan*,Dreaming Spectrum*,Icarus Grip*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,
Transfiguration,3799980700,"""6917529202565129636""",,Legendary,Scout Rifle,lastwish,Kinetic,Kinetic,1100,,Stability,2,Vault,true,false,3,11,,78,29,67,86,0,0,32,150,14,17,36,0,0,0,,High-Impact Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Smallbore,Drop Mag,Extended Mag*,Rampage*,Kill Clip*,Bloody Tooth*,Icarus Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,
Duke Mk. 44,2112909414,"""6917529116516309937""",,Legendary,Hand Cannon,legendaryengram,Kinetic,Kinetic,1100,1060,Handling,10,Vault,true,false,2,4,,90,69,92,81,0,0,27,120,46,9,37,0,0,0,,Aggressive Frame*,Fastdraw HCS,Crossfire HCS,Sureshot HCS*,Rapid Hit*,Armor-Piercing Rounds,High-Caliber Rounds,Light Mag*,Kill Clip*,Bloody Tooth*,Icarus Grip*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,
Chroma Rush,1119734784,"""6917529412367832840""",,Legendary,Auto Rifle,servitor,Kinetic,Kinetic,1320,,Stability,4,Vault,false,false,4,14,,45,80,18,42,0,0,68,720,52,51,55,0,0,0,,Rapid-Fire Frame*,Fluted Barrel*,Smallbore,Accurized Rounds*,Steady Rounds,Moving Target*,Kill Clip*,Wellspring,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Austringer,2429822977,"""6917529198223059645""",,Legendary,Hand Cannon,dcv,Kinetic,Kinetic,1100,1060,Reload Speed,2,Vault,true,false,2,7,,95,75,84,65,0,0,68,140,53,11,57,0,0,0,,Adaptive Frame*,Chambered Compensator,Corkscrew Rifling*,Accurized Rounds*,Alloy Magazine,Outlaw*,Rangefinder*,Amethyst Veil*,Icarus Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Death Adder,2742490609,"""6917529200362370637""",,Legendary,Submachine Gun,dungeon,Energy,Solar,1310,,Range,1,Vault,true,false,3,11,,100,55,15,55,0,0,42,900,33,37,55,0,0,0,,Lightweight Frame*,Extended Barrel*,Smallbore,Accurized Rounds*,Flared Magwell,Auto-Loading Holster*,Dragonfly*,Carminica*,Dragonfly Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
The Fool's Remedy,65611680,"""6917529360682960874""",,Legendary,Sidearm,ironbanner,Energy,Solar,1310,,Handling,4,Vault,true,false,3,11,,94,63,35,39,0,0,68,450,44,15,80,0,0,0,,SUROS Rapid-Fire*,QuickDot SAS*,Control SAS,Armor-Piercing Rounds*,Light Mag,Feeding Frenzy*,Rangefinder*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Cold Front,1506719573,"""6917529230256637556""",,Legendary,Submachine Gun,events,Kinetic,Kinetic,1250,,Range,2,Vault,true,false,4,12,The Dawning,100,29,22,57,0,0,16,750,10,30,49,0,0,0,,Aggressive Frame*,Arrowhead Brake,Extended Barrel*,Extended Mag*,Steady Rounds,Surplus*,Swashbuckler*,Bloody Tooth*,Dragonfly Spec*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Bottom Dollar,1046651176,"""6917529340663277656""",,Legendary,Hand Cannon,drifter,Energy,Void,1300,,Reload Speed,1,Vault,true,false,4,13,,85,66,92,64,0,0,40,120,15,12,51,0,0,0,,Aggressive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Rangefinder*,Multikill Clip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
THE SWARM (Adept),3836861464,"""6917529344897680339""",,Legendary,Machine Gun,nightfall,Power,Arc,1310,,Handling,2,Vault,true,false,4,13,,79,39,70,86,0,0,31,360,44,56,39,0,0,0,,High-Impact Frame*,Full Bore*,Smallbore,Appended Mag*,Extended Mag,Outlaw*,Vorpal Weapon*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Sojourner's Tale,599895591,"""6917529369871374329""",,Legendary,Shotgun,seasonpass,Energy,Solar,1310,,Range,3,Vault,true,false,4,14,,56,35,70,81,0,0,37,65,50,7,62,0,0,0,,Precision Frame*,Full Bore*,Polygonal Rifling,Appended Mag*,Light Mag,Moving Target*,Opening Shot*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Empty Vessel,4255586669,"""6917529369939230867""",,Legendary,Grenade Launcher,strikes,Energy,Solar,1310,,Reload Speed,1,Vault,true,false,4,14,,76,73,0,0,5,88,23,90,69,1,68,0,0,0,,Lightweight Frame*,Hard Launch*,Linear Compensator,Blinding Grenades*,Implosion Rounds,Ambitious Assassin*,Snapshot Sights*,Minor Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Shattered Cipher,2434225986,"""6917529365355737899""",,Legendary,Machine Gun,seasonpass,Power,Void,1310,,Range,6,Vault,true,false,4,14,,45,64,25,38,0,0,44,900,50,96,44,0,0,0,,Rapid-Fire Frame*,Corkscrew Rifling*,Full Bore,Extended Mag*,Steady Rounds,Slideways*,Rampage*,Tier 6 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Seventh Seraph SAW,2582755344,"""6917529214261449830""",,Legendary,Machine Gun,rasputin,Power,Arc,1250,,Reload Speed,1,Vault,true,false,3,10,,51,30,70,75,0,0,30,360,21,69,26,0,0,0,,High-Impact Frame*,Corkscrew Rifling,Extended Barrel*,Extended Mag*,Armor-Piercing Rounds,Auto-Loading Holster*,Firing Line*,Bloody Tooth*,Backup Mag*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Apex Predator,2545083870,"""6917529093808576251""",,Legendary,Rocket Launcher,lastwish,Power,Solar,1100,,Blast Radius,1,Vault,true,false,3,11,,61,68,0,0,73,68,49,20,50,1,50,0,0,0,,Adaptive Frame*,Confined Launch,Hard Launch*,Quick Launch,Implosion Rounds,Impact Casing*,Ambitious Assassin*,Auto-Loading Holster*,Boss Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Memory Interdict,3165547384,"""6917529411690499465""",,Legendary,Grenade Launcher,legendaryengram,Power,Void,1100,,Handling,1,Vault,true,false,4,14,,71,58,0,0,28,49,44,120,48,5,49,0,0,0,,Adaptive Frame*,Countermass,Hard Launch*,Spike Grenades*,High-Explosive Ordnance,Auto-Loading Holster*,Unrelenting*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Spare Rations,3116356268,"""6917529148053692249""",,Legendary,Hand Cannon,gambitprime,Kinetic,Kinetic,1100,1060,Reload Speed,4,Vault,true,false,2,6,,100,92,84,43,0,0,59,140,64,13,83,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Polygonal Rifling,Ricochet Rounds*,Light Mag,Threat Detector*,Rangefinder*,Butterbark*,Icarus Grip*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Sojourner's Tale,599895591,"""6917529407720314085""",,Legendary,Shotgun,seasonpass,Energy,Solar,1310,,Range,4,Vault,true,false,4,14,,66,35,70,78,0,0,60,70,50,6,58,0,0,0,,Precision Frame*,Arrowhead Brake,Extended Barrel*,Assault Mag*,Tactical Mag,Threat Detector*,Frenzy*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Temptation's Hook,35794111,"""6917529201930018114""",,Legendary,Sword,contact,Power,Arc,1100,,Impact,10,Vault,true,false,3,11,,0,0,54,0,0,0,0,0,0,51,0,0,0,0,,Caster Frame*,Hungry Edge,Jagged Edge*,Tempered Edge,Enduring Guard,Swordmaster's Guard*,Relentless Strikes*,Whirlwind Blade*,En Garde,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,
Talons of the Eagle,1982711279,"""6917529204857766112""",,Legendary,Scout Rifle,ironbanner,Kinetic,Kinetic,1100,,Stability,2,Vault,true,false,3,11,,71,30,67,85,0,0,33,150,52,14,29,0,0,0,,High-Impact Frame*,Full Bore*,Polygonal Rifling,Steady Rounds,Flared Magwell*,Outlaw*,Rampage*,Butterbark*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Threaded Needle,3075224551,"""6917529381011395686""",,Legendary,Linear Fusion Rifle,seasonpass,Power,Void,1310,,Reload Speed,2,Vault,true,false,4,13,,95,62,41,52,0,0,52,0,30,5,44,533,0,0,,Precision Frame*,Arrowhead Brake*,Polygonal Rifling,Particle Repeater,Projection Fuse*,Killing Wind*,Vorpal Weapon*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Seventh Seraph SAW,2582755344,"""6917529229527658549""",,Legendary,Machine Gun,rasputin,Power,Arc,1320,,Range,10,Vault,true,false,3,10,,41,30,70,93,0,0,30,360,38,43,31,0,0,0,,High-Impact Frame*,Arrowhead Brake,Full Bore*,Armor-Piercing Rounds,Ricochet Rounds*,Clown Cartridge*,Firing Line*,Bloody Tooth*,Boss Spec*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,,,
Horror Story,3829285960,"""6917529205461163578""",,Legendary,Auto Rifle,events,Kinetic,Kinetic,1100,,Reload Speed,2,Vault,true,false,3,11,Festival of the Lost,73,35,29,76,0,0,46,450,49,32,52,0,0,0,,Precision Frame*,Hitmark IS,Red Dot 2 MOA*,Accurized Rounds*,Steady Rounds,Subsistence*,Demolitionist*,Glacial Whisper*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Better Devils,153979397,"""6917529139566986638""",,Legendary,Hand Cannon,crucible,Kinetic,Kinetic,1100,1060,Handling,3,Vault,true,false,2,4,,88,80,84,52,0,0,48,140,55,11,44,0,0,0,,Adaptive Frame*,Fastdraw HCS,TrueSight HCS,Crossfire HCS*,Tactical Mag*,Steady Rounds,Rangefinder*,Kill Clip*,Bloody Tooth*,Icarus Grip*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,
Blast Battue,2453357042,"""6917529211596010366""",,Legendary,Grenade Launcher,seasonpass,Power,Arc,1250,,Handling,2,Vault,true,false,4,12,,63,63,0,0,28,58,44,120,46,6,49,0,0,0,,Adaptive Frame*,Confined Launch,Hard Launch*,Spike Grenades*,Mini Frags,Clown Cartridge*,Wellspring*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
"First In, Last Out",3616586446,"""6917529202764330188""",,Legendary,Shotgun,contact,Energy,Arc,1100,,Range,1,Vault,true,false,3,11,,58,27,70,69,0,0,66,70,50,6,64,0,0,0,,Precision Frame*,Polygonal Rifling,Smallbore*,Assault Mag*,Light Mag,Auto-Loading Holster*,Demolitionist,Surrounded*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Riiswalker,108221785,"""6917529359645521983""",,Legendary,Shotgun,ironbanner,Kinetic,Kinetic,1310,,Reload Speed,10,Vault,true,false,4,14,,54,52,65,68,0,0,44,90,75,6,83,0,0,0,,Lightweight Frame*,Smoothbore,Barrel Shroud*,Assault Mag*,Tactical Mag,Surplus*,Iron Reach*,Icarus Grip*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,,,,
Seventh Seraph SAW,2582755344,"""6917529254373185942""",,Legendary,Machine Gun,rasputin,Power,Arc,1240,,Reload Speed,1,Vault,true,false,3,10,,51,30,70,66,0,0,39,360,21,56,31,0,0,0,,High-Impact Frame*,Chambered Compensator*,Full Bore,Extended Mag*,High-Caliber Rounds,Clown Cartridge*,Vorpal Weapon*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Timelines' Vertex,3055192515,"""6917529196452575087""",,Legendary,Fusion Rifle,legendaryengram,Energy,Solar,1100,,Stability,1,Vault,true,false,3,10,,60,60,70,50,0,0,56,0,46,6,44,660,0,0,,Adaptive Frame*,Signal MS5,Flash HS5*,Ionized Battery,Particle Repeater*,Auto-Loading Holster*,Backup Plan*,Vanguard Marshal*,Icarus Grip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
Zealot's Reward,2209003210,"""6917529125960660858""",,Legendary,Fusion Rifle,garden,Energy,Void,1100,,Stability,4,Vault,true,false,3,11,,49,37,55,39,0,0,43,0,53,7,74,540,0,0,,Rapid-Fire Frame*,Fluted Barrel*,Polygonal Rifling,Accelerated Coils,Projection Fuse*,Feeding Frenzy*,High-Impact Reserves*,Gambit Emerald*,Icarus Grip*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,
